id,name,dept,salary
78,Letizia,Finance,"€1899,79"
79,Raf,n/a,"€1510,19"
80,Simonne,n/a,"€2387,49"
81,Aguie,Public Utilities,"€2480,43"
82,Shaw,Public Utilities,"€2463,46"
83,Kim,n/a,"€2476,90"
84,Philippine,Finance,"€2717,55"
85,Dawn,Health Care,"€1547,64"
86,Malena,n/a,"€1821,58"
87,Valene,Technology,"€2586,08"
88,Maible,Finance,"€1605,07"
89,Rosmunda,Basic Industries,"€2770,76"
90,Joshia,Energy,"€2933,14"
91,Alasteir,Transportation,"€2547,51"
92,Kimbra,Technology,"€1534,48"
93,Dud,n/a,"€2083,72"
94,Netta,Capital Goods,"€1936,83"
95,Hirsch,Technology,"€1972,30"
96,Kandace,Capital Goods,"€1556,54"
97,Zsazsa,Consumer Services,"€2928,57"
98,Conchita,Capital Goods,"€2518,57"
99,Siffre,Technology,"€1669,41"
100,Deni,Finance,"€1652,12"
101,Meryl,Public Utilities,"€2825,95"
102,Cassey,Finance,"€2453,58"
103,Blondelle,Consumer Services,"€2498,09"
104,Corinne,Capital Goods,"€2986,88"
105,Kessiah,Consumer Services,"€2019,37"
106,Adrianne,Health Care,"€2665,76"
107,Corissa,n/a,"€1960,08"
108,Rabi,Energy,"€2542,84"
109,Maggi,Consumer Services,"€2032,24"
110,Justis,Capital Goods,"€1972,41"
111,Lannie,n/a,"€2346,02"
112,Rockie,Finance,"€2747,53"
113,Leland,Health Care,"€2929,38"
114,Charlene,Consumer Services,"€2368,61"
115,Abbe,Consumer Services,"€2108,55"
116,Maye,Public Utilities,"€1818,04"
117,Georg,Public Utilities,"€1844,51"
118,Roberta,n/a,"€1708,65"
119,Abramo,Consumer Non-Durables,"€1816,25"
120,Alanna,n/a,"€2942,22"
121,Garret,Basic Industries,"€2082,84"
122,Pincus,n/a,"€2469,82"
123,Maxim,Consumer Durables,"€2124,29"
124,Daffi,Consumer Services,"€2968,48"
125,Riobard,Energy,"€1904,12"
126,Faith,Energy,"€1871,55"
127,Brianne,Capital Goods,"€2221,14"
128,Gualterio,Consumer Services,"€1672,36"
129,Boycey,n/a,"€2373,01"
130,Saleem,Basic Industries,"€2547,82"
131,Eduardo,n/a,"€1513,24"
132,Ario,Technology,"€1573,97"
133,Berti,n/a,"€1976,68"
134,Shandie,n/a,"€2784,98"
135,Loralie,Miscellaneous,"€2562,33"
136,Linette,Health Care,"€1928,70"
137,Albina,Technology,"€2010,25"
138,Toiboid,n/a,"€2201,54"
139,Reagen,Finance,"€1925,76"
140,Natal,n/a,"€2667,57"
141,Gina,Consumer Durables,"€2392,19"
142,Berti,Technology,"€1826,24"
143,Aurel,Health Care,"€2158,12"
144,Everett,Public Utilities,"€2933,17"
145,Nita,Public Utilities,"€1713,30"
146,Shelley,Consumer Services,"€1620,74"
147,Jerrie,Transportation,"€1867,35"
148,Catherine,Consumer Non-Durables,"€2177,07"
149,Mike,Consumer Services,"€2013,51"
150,Vassily,Public Utilities,"€1643,55"
151,Julianna,n/a,"€2405,22"
152,Kelsy,n/a,"€2225,76"
153,Cinda,Finance,"€2476,30"
154,Roxanna,Technology,"€2469,57"
155,Danny,Health Care,"€1844,34"
156,Teddy,n/a,"€1812,38"
157,Nellie,Consumer Services,"€2888,86"
158,Rawley,n/a,"€2987,23"
159,Constance,Finance,"€1514,92"
160,Woodrow,n/a,"€2111,09"
161,Elana,Technology,"€2370,26"
162,Joelie,Consumer Non-Durables,"€2386,93"
163,Tove,n/a,"€1609,58"
164,Yulma,n/a,"€1708,98"
165,Wiatt,Technology,"€2194,38"
166,Ame,Technology,"€2608,58"
167,Millie,Energy,"€2074,52"
168,Colin,Transportation,"€2862,97"
169,Alexia,Public Utilities,"€1558,96"
170,Heidi,Health Care,"€1518,07"
171,Sara-ann,Consumer Non-Durables,"€2601,03"
172,Eleanora,Public Utilities,"€2504,78"
173,Cherice,n/a,"€2917,97"
174,Thalia,n/a,"€1839,50"
175,Leisha,Consumer Services,"€1930,08"
176,Kitty,Public Utilities,"€2553,57"
177,Robin,Capital Goods,"€2241,99"
178,Natalee,Miscellaneous,"€2192,87"
179,Sydel,Capital Goods,"€2815,91"
180,Malvina,Finance,"€1795,07"
181,Link,Capital Goods,"€2385,35"
182,Fredia,Health Care,"€2209,04"
183,Yancey,Consumer Services,"€2550,47"
184,Gawain,n/a,"€1747,17"
185,Audie,Energy,"€1743,72"
186,Phoebe,Consumer Non-Durables,"€2715,74"
187,Husein,Health Care,"€2045,71"
188,Norene,Consumer Services,"€1734,62"
189,Brandais,Health Care,"€1590,01"
190,Saunders,n/a,"€2563,91"
191,Arlinda,Consumer Durables,"€2204,09"
192,Olin,n/a,"€2365,74"
193,Rogerio,Technology,"€2443,02"
194,Benny,Public Utilities,"€1843,88"
195,Elsie,Technology,"€2106,15"
196,Junie,Transportation,"€1723,88"
197,Yancey,Technology,"€1646,32"
198,Warden,Technology,"€1597,78"
199,Chancey,Consumer Non-Durables,"€1771,79"
200,Regan,Health Care,"€2509,43"
201,Gibb,Consumer Services,"€2670,07"
202,Malorie,Health Care,"€2819,23"
203,Dani,Finance,"€1703,43"
204,Glyn,n/a,"€1750,24"
205,Waiter,n/a,"€2854,31"
206,Smitty,Consumer Services,"€2382,73"
207,Glynda,Finance,"€2407,82"
208,Issiah,Public Utilities,"€2250,28"
209,Frank,Consumer Services,"€2986,16"
210,Merry,Consumer Services,"€2251,55"
211,Hewet,Capital Goods,"€2281,45"
212,Caprice,Basic Industries,"€1792,06"
213,Clerissa,Capital Goods,"€2297,68"
214,Meredith,Consumer Services,"€1729,15"
215,Hillie,Consumer Services,"€1891,56"
216,Seline,Consumer Services,"€2675,62"
217,Renee,Public Utilities,"€1508,76"
218,Dulcy,Capital Goods,"€2119,16"
219,Amara,Public Utilities,"€2924,10"
220,Ive,Consumer Services,"€2200,52"
221,Ekaterina,Finance,"€2514,31"
222,Garald,Public Utilities,"€2819,62"
223,Shir,n/a,"€1708,84"
224,Fancie,n/a,"€2399,43"
225,Foss,Technology,"€1823,87"
226,Caldwell,Finance,"€2486,08"
227,Radcliffe,Capital Goods,"€1693,32"
228,Pennie,n/a,"€2270,07"
229,Ethelred,n/a,"€2731,28"
230,Dorthy,Consumer Services,"€2387,28"
231,Jean,Finance,"€2426,19"
232,Aeriell,n/a,"€2769,30"
233,Papagena,Finance,"€1642,19"
234,Sim,Finance,"€2550,57"
235,Dorine,Finance,"€1920,84"
236,Carmelita,n/a,"€1736,51"
237,Teddy,Public Utilities,"€2112,59"
238,Dannie,Consumer Services,"€2676,78"
239,Charles,Technology,"€1852,18"
240,Raddie,Consumer Services,"€2648,66"
241,Ravid,Health Care,"€2595,59"
242,Giana,Miscellaneous,"€2895,19"
243,Ernie,Capital Goods,"€2817,27"
244,Woodie,Finance,"€2527,94"
245,Leanora,Transportation,"€1885,02"
246,Annecorinne,Technology,"€1905,96"
247,Caryl,Technology,"€1931,73"
248,Gennifer,Consumer Services,"€1970,68"
249,Hillie,n/a,"€1674,94"
250,Remus,Health Care,"€2386,25"
251,Isa,Health Care,"€2366,75"
252,Ynes,Consumer Services,"€1923,23"
253,Alison,Miscellaneous,"€1897,19"
254,Hilary,Health Care,"€2859,44"
255,Jeddy,n/a,"€1936,74"
256,Licha,Finance,"€1712,55"
257,Wakefield,n/a,"€2840,45"
258,Iseabal,Basic Industries,"€1654,43"
259,Charlie,Technology,"€2125,69"
260,Nataline,Finance,"€2152,17"
261,Joaquin,Technology,"€2865,91"
262,Breanne,Health Care,"€2645,39"
263,Trixie,Consumer Services,"€2229,35"
264,Wilbert,Consumer Non-Durables,"€1767,18"
265,Koren,Consumer Non-Durables,"€1727,49"
266,Alessandra,n/a,"€1796,00"
267,Marci,Finance,"€1825,13"
268,Craig,n/a,"€1918,80"
269,Courtney,n/a,"€1978,20"
270,Ferd,Finance,"€2358,50"
271,Mattie,n/a,"€1945,36"
272,Alana,Finance,"€1692,07"
273,Emelita,Technology,"€2393,56"
274,Donovan,n/a,"€2799,08"
275,Jerrie,Public Utilities,"€2544,04"
276,Vail,Health Care,"€2914,72"
277,Franchot,Health Care,"€2539,18"
278,Michelina,Consumer Services,"€2615,18"
279,Bryanty,Consumer Services,"€2283,49"
280,Gerard,Consumer Services,"€2893,93"
281,Ricky,Health Care,"€2295,39"
282,Quint,Miscellaneous,"€2916,09"
283,Erik,Capital Goods,"€1703,13"
284,Cassaundra,Miscellaneous,"€2397,18"
285,Rip,Finance,"€2460,56"
286,Suzann,n/a,"€2020,43"
287,Dix,Finance,"€2671,58"
288,Lenora,Public Utilities,"€2868,09"
289,Robina,Consumer Services,"€1598,28"
290,Talbot,Finance,"€2235,83"
291,Julian,Basic Industries,"€1803,39"
292,Cordell,n/a,"€2827,85"
293,Cheri,Energy,"€2110,75"
294,Antoinette,Health Care,"€2279,36"
295,Clara,n/a,"€2688,86"
296,Nina,Health Care,"€1686,84"
297,Brady,Transportation,"€2417,57"
298,Mikael,Miscellaneous,"€2367,96"
299,Lynnett,Consumer Services,"€2943,97"
300,Madlen,Energy,"€2628,99"
301,Hephzibah,Consumer Services,"€2737,47"
302,Timmy,Finance,"€2965,22"
303,Jedidiah,Technology,"€2640,10"
304,Tony,Capital Goods,"€2322,23"
305,Powell,Consumer Non-Durables,"€1592,82"
306,Archer,n/a,"€1739,15"
307,Anette,Finance,"€2358,46"
308,Carma,Consumer Services,"€2577,16"
309,Tyrus,Finance,"€2875,79"
310,Cyndy,Energy,"€2289,97"
311,Minnie,Basic Industries,"€2102,04"
312,Alonso,Finance,"€2193,25"
313,Fin,Capital Goods,"€1618,71"
314,Trent,Consumer Services,"€2732,00"
315,Loralee,Finance,"€1939,80"
316,Marcel,Health Care,"€2799,96"
317,Judy,Basic Industries,"€2365,72"
318,Janith,Consumer Services,"€2907,86"
319,Stanislaus,Finance,"€2901,61"
320,Marita,Consumer Services,"€2741,96"
321,Cirstoforo,Capital Goods,"€1850,69"
322,Darwin,Consumer Non-Durables,"€2428,63"
323,Loria,Finance,"€2020,11"
324,Christoper,Public Utilities,"€2551,48"
325,Florance,n/a,"€2443,04"
326,Saunderson,n/a,"€1775,30"
327,Chelsie,Consumer Services,"€2878,97"
328,Georgeanne,Health Care,"€2546,24"
329,Harbert,Technology,"€1882,82"
330,Marijo,Consumer Services,"€2975,01"
331,Ginger,Finance,"€2680,31"
332,Babette,Energy,"€1761,74"
333,Bancroft,n/a,"€1775,60"
334,Delila,Miscellaneous,"€1719,79"
335,Tore,n/a,"€2435,21"
336,Clo,Transportation,"€2990,92"
337,Kirby,n/a,"€1772,06"
338,Karia,n/a,"€1616,41"
339,Jolynn,Public Utilities,"€2853,97"
340,Doro,Technology,"€2101,98"
341,Leta,Consumer Durables,"€1756,32"
342,Jilleen,n/a,"€2688,55"
343,Andy,n/a,"€2366,21"
344,Yuri,Finance,"€2263,16"
345,Abigael,Consumer Durables,"€2773,95"
346,Merrill,n/a,"€2399,17"
347,Charlena,Health Care,"€1547,05"
348,Davine,n/a,"€2268,92"
349,Steward,Technology,"€2265,79"
350,Hyatt,Consumer Services,"€2751,39"
351,Vasilis,Consumer Services,"€2721,15"
352,Amandie,Consumer Durables,"€1865,58"
353,Bambi,Finance,"€2681,66"
354,Jonathan,Energy,"€2092,76"
355,Fergus,n/a,"€1892,80"
356,Roderigo,Consumer Services,"€1896,09"
357,Obadiah,Consumer Durables,"€2322,45"
358,Estele,Consumer Services,"€2028,73"
359,Urbanus,Technology,"€1796,21"
360,Maria,Miscellaneous,"€2319,19"
361,Ricard,Consumer Services,"€2760,59"
362,Lettie,n/a,"€1933,42"
363,Manya,Finance,"€1721,01"
364,Gordon,Consumer Services,"€1518,14"
365,Peggi,n/a,"€2898,69"
366,Rochette,Technology,"€2087,33"
367,Giff,n/a,"€2458,87"
368,Jillie,Health Care,"€2943,12"
369,Lolita,Consumer Non-Durables,"€1757,00"
370,Brinn,n/a,"€2026,17"
371,Barthel,Capital Goods,"€2445,77"
372,Wyatan,Capital Goods,"€2213,86"
373,Kathi,n/a,"€2544,27"
374,Joscelin,Consumer Non-Durables,"€2441,60"
375,Alan,n/a,"€2160,61"
376,Ginny,Technology,"€2657,92"
377,Wilmette,Technology,"€2956,85"
378,Maddie,Public Utilities,"€2065,17"
379,Keelby,Public Utilities,"€2254,93"
380,Thain,Energy,"€2722,25"
381,Valentine,Technology,"€2150,71"
382,Sapphire,Energy,"€2206,74"
383,Inna,n/a,"€2424,45"
384,Art,Consumer Durables,"€2155,44"
385,Terrence,Energy,"€1750,63"
386,Holt,Finance,"€2302,34"
387,Ashlie,Finance,"€2333,59"
388,Bald,Finance,"€2264,78"
389,Anselm,Health Care,"€2135,91"
390,Diahann,Finance,"€2227,59"
391,Lucia,Capital Goods,"€1837,43"
392,Laverne,Consumer Services,"€1551,46"
393,Morganne,Finance,"€1526,88"
394,Dani,Finance,"€2583,94"
395,Kandace,Capital Goods,"€2659,52"
396,Annmaria,n/a,"€2875,44"
397,Field,Finance,"€2478,31"
398,Hamil,n/a,"€1576,01"
399,Agnola,Finance,"€2128,25"
400,Aridatha,Capital Goods,"€2783,99"
401,Joelle,Finance,"€2294,85"
402,Monroe,Public Utilities,"€2574,98"
403,Whitaker,n/a,"€2148,76"
404,Nerti,Health Care,"€2449,89"
405,Ines,Miscellaneous,"€2242,81"
406,Hendrick,n/a,"€1518,18"
407,Mylo,n/a,"€2340,45"
408,Elinore,Consumer Services,"€2672,23"
409,Isaak,Health Care,"€2509,06"
410,Bernie,Miscellaneous,"€2530,24"
411,Peder,n/a,"€2315,34"
412,Moina,Health Care,"€2748,98"
413,Fransisco,n/a,"€2357,66"
414,Kaitlyn,Finance,"€2950,72"
415,Fax,Technology,"€2142,25"
416,Lyda,Finance,"€2125,60"
417,Fanny,Consumer Services,"€2993,82"
418,Nev,Consumer Services,"€2900,14"
419,Lefty,Technology,"€1610,99"
420,Salome,n/a,"€2837,37"
421,Dalli,Finance,"€1843,02"
422,Michale,Health Care,"€2667,88"
423,Dareen,Consumer Services,"€2951,92"
424,Benita,Finance,"€1720,78"
425,Leland,Finance,"€2511,70"
426,Ricard,Consumer Services,"€2502,28"
427,Felicity,Finance,"€2487,30"
428,Larissa,Health Care,"€2890,55"
429,Mack,Health Care,"€2179,17"
430,Ramon,Health Care,"€2182,97"
431,Frasco,Finance,"€2515,00"
432,Andreas,Consumer Durables,"€2504,34"
433,Wheeler,Technology,"€2062,42"
434,Netti,n/a,"€2904,59"
435,Fawnia,Technology,"€2302,71"
436,Emlen,Technology,"€2975,02"
437,Joellen,Transportation,"€2780,21"
438,Gisella,n/a,"€1655,36"
439,Eleanore,Technology,"€1833,82"
440,Cinnamon,n/a,"€2510,81"
441,Devin,Consumer Services,"€2909,73"
442,Claudell,Finance,"€2137,10"
443,Aloysia,n/a,"€2722,78"
444,Baily,n/a,"€2490,51"
445,Jenni,Public Utilities,"€1612,58"
446,Annabela,Capital Goods,"€2614,16"
447,Jerry,n/a,"€2890,96"
448,Starlin,Technology,"€1596,70"
449,Tammi,n/a,"€2623,31"
450,Peri,Technology,"€2838,65"
451,Benedetto,n/a,"€2310,11"
452,Kaitlynn,Health Care,"€1862,66"
453,Klara,Public Utilities,"€2600,11"
454,Merralee,Basic Industries,"€2744,46"
455,Leta,Technology,"€2760,93"
456,Herrick,Finance,"€1649,80"
457,Axel,n/a,"€2925,43"
458,Tristan,Finance,"€2150,46"
459,Wilburt,Consumer Services,"€1823,24"
460,Ethe,Consumer Non-Durables,"€2858,80"
461,Beauregard,Finance,"€1966,51"
462,Adan,n/a,"€2921,54"
463,Timofei,Public Utilities,"€2946,86"
464,Corrianne,Finance,"€1883,29"
465,Kym,Technology,"€1808,88"
466,Gayle,n/a,"€1549,81"
467,Kathrine,Consumer Services,"€1556,67"
468,Jolie,n/a,"€2779,31"
469,Lil,n/a,"€2268,96"
470,Bing,n/a,"€2954,13"
471,Evin,Technology,"€2655,60"
472,Barbabra,n/a,"€2486,83"
473,Marylee,Health Care,"€1729,71"
474,Rock,n/a,"€2166,19"
475,Carney,n/a,"€1682,65"
476,Salem,n/a,"€2106,18"
477,Gertrud,Finance,"€2796,86"
478,Roshelle,Consumer Durables,"€1520,30"
479,Dorothy,Basic Industries,"€2843,32"
480,Amby,Consumer Services,"€2565,40"
481,Darrel,n/a,"€2000,08"
482,Bent,Health Care,"€1732,97"
483,Cammie,Consumer Services,"€2093,44"
484,Corabelle,Miscellaneous,"€2089,26"
485,Richmond,Finance,"€2086,68"
486,Goddard,Consumer Services,"€2906,21"
487,North,Finance,"€1901,79"
488,Alonzo,Basic Industries,"€1966,73"
489,Noble,Finance,"€2605,80"
490,Vince,Health Care,"€1677,69"
491,Allan,Consumer Services,"€1979,25"
492,Riki,Public Utilities,"€2944,73"
493,Heriberto,Finance,"€2191,73"
494,Yancey,Consumer Services,"€1932,51"
495,Marielle,n/a,"€1660,70"
496,Baudoin,Health Care,"€2289,49"
497,Suzette,n/a,"€2718,93"
498,Catherine,n/a,"€1873,17"
499,Aaron,Health Care,"€2036,11"
500,Alessandro,Health Care,"€2364,34"
501,Denver,Capital Goods,"€2861,32"
502,Sukey,Public Utilities,"€2614,27"
503,Saidee,n/a,"€1557,56"
504,Terra,Health Care,"€2139,46"
505,Judi,Health Care,"€2964,94"
506,Philippine,Health Care,"€2737,95"
507,Beale,Public Utilities,"€2598,07"
508,Tyne,Capital Goods,"€1605,27"
509,Orel,Finance,"€1717,86"
510,Welsh,Finance,"€2264,79"
511,Tiebold,Miscellaneous,"€2394,00"
512,Sibylle,n/a,"€1501,84"
513,Corliss,Consumer Services,"€1766,49"
514,Vera,Consumer Services,"€2618,51"
515,Gottfried,Finance,"€2530,47"
516,Mora,Energy,"€1776,13"
517,Audre,Finance,"€1947,20"
518,Trueman,n/a,"€2172,21"
519,Hollie,Technology,"€1958,26"
520,Gertrude,Basic Industries,"€2690,26"
521,Ilario,n/a,"€2844,61"
522,Alastair,Basic Industries,"€2946,39"
523,Brantley,n/a,"€1615,78"
524,Essie,Transportation,"€2440,23"
525,Spike,Health Care,"€2731,85"
526,Ber,Health Care,"€2058,85"
527,Marsiella,Capital Goods,"€2015,50"
528,Romy,Basic Industries,"€2516,33"
529,Rhett,n/a,"€2206,40"
530,Jedediah,n/a,"€2433,11"
531,Gaylord,Consumer Services,"€2093,33"
532,Durante,Finance,"€2322,24"
533,Albina,Capital Goods,"€1780,32"
534,Maurizio,Basic Industries,"€2925,62"
535,Fred,Transportation,"€2385,52"
536,Selinda,n/a,"€1836,03"
537,Elka,Technology,"€1689,85"
538,Mohammed,Finance,"€1839,92"
539,Paddy,Consumer Services,"€1672,49"
540,Margette,Consumer Services,"€2711,44"
541,Paige,Finance,"€1799,39"
542,L;urette,Public Utilities,"€2639,12"
543,Lilah,n/a,"€2704,30"
544,Dottie,Consumer Services,"€2975,41"
545,Brendan,Health Care,"€2645,39"
546,Wolfgang,Consumer Services,"€2871,62"
547,Timmie,Finance,"€2579,82"
548,Hillery,Transportation,"€2945,50"
549,Gregoire,Consumer Services,"€2927,40"
550,Crystal,Consumer Non-Durables,"€1586,03"
551,Sue,Consumer Services,"€2980,02"
552,Deina,Energy,"€1553,71"
553,Marita,Finance,"€2905,01"
554,Rebekah,Public Utilities,"€2752,24"
555,Leia,Public Utilities,"€1863,00"
556,Stevana,Technology,"€2263,78"
557,Sadella,Consumer Services,"€2685,59"
558,Elliott,Finance,"€2927,05"
559,Teresita,n/a,"€1664,88"
560,Linzy,Capital Goods,"€1666,76"
561,Marcie,Finance,"€2220,24"
562,Malcolm,Finance,"€2028,32"
563,Feliza,Consumer Services,"€2442,69"
564,Diena,n/a,"€2017,98"
565,Bab,Miscellaneous,"€2291,93"
566,Kary,Technology,"€1740,59"
567,Esmaria,Public Utilities,"€1696,42"
568,Dorey,Capital Goods,"€2777,44"
569,Frasco,Consumer Services,"€1676,20"
570,Inness,Consumer Non-Durables,"€2960,59"
571,Orton,Finance,"€2642,82"
572,Vail,Technology,"€2225,35"
573,Trenton,Consumer Services,"€2500,96"
574,Guilbert,n/a,"€2435,34"
575,Hersh,Energy,"€2987,30"
576,Floyd,Finance,"€2276,50"
577,Coral,Finance,"€2272,44"
578,Kaila,Consumer Services,"€1723,44"
579,Kassia,n/a,"€2526,40"
580,Percy,Health Care,"€1769,14"
581,Dominique,Consumer Non-Durables,"€1652,24"
582,Dov,Capital Goods,"€1857,70"
583,Ewart,Technology,"€2050,98"
584,Damara,Technology,"€2434,25"
585,Maggi,Technology,"€2736,63"
586,Sandy,Health Care,"€2104,80"
587,Rozina,n/a,"€2205,97"
588,Alta,n/a,"€2377,08"
589,Twyla,n/a,"€2641,46"
590,Neddy,Consumer Services,"€2128,20"
591,Ephrem,Consumer Services,"€1569,93"
592,Ode,n/a,"€2857,00"
593,Sutherland,Consumer Services,"€2176,99"
594,Frankie,Finance,"€2308,52"
595,Nichol,Consumer Services,"€2837,63"
596,Willdon,Technology,"€1731,48"
597,Kailey,Energy,"€2503,76"
598,Massimiliano,Consumer Services,"€1607,87"
599,Rolfe,Finance,"€1774,90"
600,Jaclin,Basic Industries,"€2279,28"
601,Gustaf,Consumer Non-Durables,"€2340,39"
602,Stacia,Health Care,"€2828,96"
603,Valera,Finance,"€2548,79"
604,Rorke,n/a,"€1736,83"
605,Martica,Transportation,"€2836,69"
606,Sig,n/a,"€1806,24"
607,Amelita,Consumer Services,"€2598,28"
608,Coral,Finance,"€1840,74"
609,Gustavus,Public Utilities,"€1526,01"
610,Boonie,n/a,"€2440,36"
611,Bev,Consumer Services,"€2406,30"
612,Inger,Public Utilities,"€2227,79"
613,Rube,Energy,"€1612,52"
614,Kessiah,n/a,"€2492,93"
615,Ailyn,Consumer Services,"€2566,79"
616,Kerry,Technology,"€1852,46"
617,Jefferson,Finance,"€1871,19"
618,Merrili,Finance,"€2590,26"
619,Lillis,Energy,"€1967,60"
620,Kermie,n/a,"€2258,99"
621,Cosme,Consumer Services,"€2050,81"
622,Aaren,n/a,"€2497,60"
623,Corenda,Consumer Services,"€2959,22"
624,Frants,Finance,"€1892,54"
625,John,Technology,"€1691,71"
626,Yanaton,Basic Industries,"€2739,15"
627,Clemmy,Finance,"€1955,93"
628,Fredelia,Finance,"€2414,74"
629,Felike,Consumer Durables,"€2633,23"
630,Darla,Finance,"€2325,20"
631,Randie,Consumer Non-Durables,"€2195,01"
632,Britt,Consumer Services,"€1881,66"
633,Star,Basic Industries,"€1940,98"
634,Daphene,Consumer Services,"€2250,85"
635,Lind,Transportation,"€1670,71"
636,Venus,Technology,"€2096,12"
637,Madella,Capital Goods,"€2754,28"
638,Melva,Technology,"€2408,55"
639,Loutitia,n/a,"€2898,35"
640,Lelah,Capital Goods,"€2463,86"
641,Milt,Technology,"€2982,52"
642,Salomi,Consumer Durables,"€2472,35"
643,Margalo,Consumer Services,"€2842,00"
644,Verena,Consumer Services,"€2373,16"
645,Fayre,n/a,"€1975,86"
646,Kelsi,Finance,"€1867,74"
647,Larisa,Finance,"€2062,56"
648,Trace,n/a,"€2636,28"
649,Gianina,Public Utilities,"€2222,85"
650,Leonora,n/a,"€2890,71"
651,Elinor,Health Care,"€2593,26"
652,Cosette,Public Utilities,"€1821,30"
653,Brittne,Health Care,"€2937,57"
654,Del,Technology,"€2070,03"
655,Clare,n/a,"€2724,23"
656,Susanna,Finance,"€1825,44"
657,Genny,Basic Industries,"€2787,23"
658,Stillman,Finance,"€2744,63"
659,Sibel,n/a,"€2114,08"
660,Christie,Consumer Services,"€2483,69"
661,Cecil,Technology,"€1751,87"
662,Wakefield,Technology,"€2153,99"
663,Alec,Technology,"€2535,34"
664,Joyan,n/a,"€2767,95"
665,Garrett,Basic Industries,"€2533,04"
666,Colas,Finance,"€2603,54"
667,Roberto,Health Care,"€2593,79"
668,Berky,Health Care,"€1579,16"
669,Ailene,Finance,"€2112,14"
670,Emmott,Technology,"€1713,54"
671,Crysta,n/a,"€2598,06"
672,Alexis,Finance,"€1703,28"
673,Winnifred,Miscellaneous,"€1696,70"
674,Winifred,n/a,"€2098,25"
675,Loretta,Finance,"€2160,76"
676,Dal,n/a,"€2893,23"
677,Bobine,Consumer Services,"€2390,90"
678,Nydia,Capital Goods,"€1770,22"
679,Meggie,n/a,"€2322,72"
680,Karilynn,n/a,"€2391,34"
681,Elena,Finance,"€2572,81"
682,Sallee,Transportation,"€2011,95"
683,Jerome,Miscellaneous,"€2925,00"
684,Jyoti,Consumer Services,"€1929,79"
685,Ophelie,Finance,"€2121,67"
686,Leela,Consumer Services,"€1976,60"
687,Mitch,Consumer Non-Durables,"€2612,50"
688,Jakob,Health Care,"€2253,75"
689,Suzann,Consumer Non-Durables,"€1808,94"
